Date,Close
11/05/2018 16:00:00,77.78
14/05/2018 16:00:00,78.25
15/05/2018 16:00:00,78.6
16/05/2018 16:00:00,78.51
17/05/2018 16:00:00,78.78
18/05/2018 16:00:00,78.78
21/05/2018 16:00:00,78.3
22/05/2018 16:00:00,75.47
23/05/2018 16:00:00,75.95
24/05/2018 16:00:00,70.9
25/05/2018 16:00:00,68.45
29/05/2018 16:00:00,68.18
30/05/2018 16:00:00,69.6
31/05/2018 16:00:00,68.25
01/06/2018 16:00:00,68.85
04/06/2018 16:00:00,69.86
05/06/2018 16:00:00,71.76
06/06/2018 16:00:00,71.56
07/06/2018 16:00:00,71.66
08/06/2018 16:00:00,72.31
11/06/2018 16:00:00,73.64
12/06/2018 16:00:00,74.05
13/06/2018 16:00:00,73.26
14/06/2018 16:00:00,73.32
15/06/2018 16:00:00,74.81
18/06/2018 16:00:00,77.06
19/06/2018 16:00:00,76.41
20/06/2018 16:00:00,75.86
21/06/2018 16:00:00,77.23
22/06/2018 16:00:00,76.26
25/06/2018 16:00:00,75.11
26/06/2018 16:00:00,76.52
27/06/2018 16:00:00,74.08
28/06/2018 16:00:00,74.99
29/06/2018 16:00:00,74.58
02/07/2018 16:00:00,74.35
03/07/2018 13:00:00,73.63
05/07/2018 16:00:00,73.74
06/07/2018 16:00:00,74.28
09/07/2018 16:00:00,75.21
10/07/2018 16:00:00,75.71
11/07/2018 16:00:00,74.28
12/07/2018 16:00:00,74.69
13/07/2018 16:00:00,75.88
16/07/2018 16:00:00,75.48
17/07/2018 16:00:00,76.56
18/07/2018 16:00:00,76.35
19/07/2018 16:00:00,77.98
20/07/2018 16:00:00,76.11
23/07/2018 16:00:00,76.4
24/07/2018 16:00:00,75.25
25/07/2018 16:00:00,75.32
26/07/2018 16:00:00,76.01
27/07/2018 16:00:00,74.68
30/07/2018 16:00:00,74.44
31/07/2018 16:00:00,75.03
01/08/2018 16:00:00,74.88
02/08/2018 16:00:00,75.92
03/08/2018 16:00:00,76.08
06/08/2018 16:00:00,76.42
07/08/2018 16:00:00,77.29
08/08/2018 16:00:00,77.29
09/08/2018 16:00:00,78.68
10/08/2018 16:00:00,78.71
13/08/2018 16:00:00,77.07
14/08/2018 16:00:00,78.53
15/08/2018 16:00:00,76.38
16/08/2018 16:00:00,76.91
17/08/2018 16:00:00,78.48
20/08/2018 16:00:00,79.38
21/08/2018 16:00:00,81.43
22/08/2018 16:00:00,80.95
23/08/2018 16:00:00,82.6
24/08/2018 16:00:00,82.08
27/08/2018 16:00:00,81.66
28/08/2018 16:00:00,77.57
29/08/2018 16:00:00,77.63
30/08/2018 16:00:00,78.01
31/08/2018 16:00:00,79.56
04/09/2018 16:00:00,80.68
05/09/2018 16:00:00,79.07
06/09/2018 16:00:00,79.23
07/09/2018 16:00:00,78.19
10/09/2018 16:00:00,77.31
11/09/2018 16:00:00,77.57
12/09/2018 16:00:00,78.25
13/09/2018 16:00:00,78.56
14/09/2018 16:00:00,78.39
17/09/2018 16:00:00,77.04
18/09/2018 16:00:00,77.7
19/09/2018 16:00:00,77.74
20/09/2018 16:00:00,79.56
21/09/2018 16:00:00,80.64
24/09/2018 16:00:00,79.42
25/09/2018 16:00:00,77.86
26/09/2018 16:00:00,79.63
27/09/2018 16:00:00,78.26
28/09/2018 16:00:00,79.36
01/10/2018 16:00:00,79.01
02/10/2018 16:00:00,75.2
03/10/2018 16:00:00,75.01
04/10/2018 16:00:00,73.15
05/10/2018 16:00:00,72.55
08/10/2018 16:00:00,71.38
09/10/2018 16:00:00,71.34
10/10/2018 16:00:00,70.78
11/10/2018 16:00:00,70.75
12/10/2018 16:00:00,72.45
15/10/2018 16:00:00,72.99
16/10/2018 16:00:00,74.81
17/10/2018 16:00:00,73.83
18/10/2018 16:00:00,72.65
19/10/2018 16:00:00,70.79
22/10/2018 16:00:00,72.19
23/10/2018 16:00:00,71.67
24/10/2018 16:00:00,68.95
25/10/2018 16:00:00,69.17
26/10/2018 16:00:00,68.45
29/10/2018 16:00:00,67.98
30/10/2018 16:00:00,70.51
31/10/2018 16:00:00,70.16
01/11/2018 16:00:00,73.08
02/11/2018 16:00:00,71.89
05/11/2018 16:00:00,71.1
06/11/2018 16:00:00,71.68
07/11/2018 16:00:00,72.81
08/11/2018 16:00:00,73.23
09/11/2018 16:00:00,67.79
12/11/2018 16:00:00,67.15
13/11/2018 16:00:00,67.05
14/11/2018 16:00:00,66.55
15/11/2018 16:00:00,67.78
16/11/2018 16:00:00,66.43
19/11/2018 16:00:00,62.2
20/11/2018 16:00:00,63.53
21/11/2018 16:00:00,62.09
23/11/2018 13:00:00,62.55
26/11/2018 16:00:00,64.34
27/11/2018 16:00:00,64.68
28/11/2018 16:00:00,65.59
29/11/2018 16:00:00,64.07
30/11/2018 16:00:00,64.59
03/12/2018 16:00:00,66.99
04/12/2018 16:00:00,62.26
06/12/2018 16:00:00,62.28
07/12/2018 16:00:00,60.58
10/12/2018 16:00:00,58.66
11/12/2018 16:00:00,58.09
12/12/2018 16:00:00,58.98
13/12/2018 16:00:00,55.93
14/12/2018 16:00:00,55.37
17/12/2018 16:00:00,52.23
18/12/2018 16:00:00,51.97
19/12/2018 16:00:00,50.96
20/12/2018 16:00:00,50.41
21/12/2018 16:00:00,48.86
24/12/2018 13:00:00,48.24
26/12/2018 16:00:00,51.57
27/12/2018 16:00:00,51.96
28/12/2018 16:00:00,51.34
31/12/2018 16:00:00,52.96
02/01/2019 16:00:00,53.6
03/01/2019 16:00:00,52.5
04/01/2019 16:00:00,52.75
07/01/2019 16:00:00,55.76
08/01/2019 16:00:00,57.4
09/01/2019 16:00:00,57.83
10/01/2019 16:00:00,56.87
11/01/2019 16:00:00,56.51
14/01/2019 16:00:00,57.28
15/01/2019 16:00:00,56.67
16/01/2019 16:00:00,56.33
17/01/2019 16:00:00,57.82
18/01/2019 16:00:00,58.71
22/01/2019 16:00:00,57.77
23/01/2019 16:00:00,57.31
24/01/2019 16:00:00,57.6
25/01/2019 16:00:00,59.34
28/01/2019 16:00:00,59.5
29/01/2019 16:00:00,58.78
30/01/2019 16:00:00,58.98
31/01/2019 16:00:00,59.24
01/02/2019 16:00:00,58.47
04/02/2019 16:00:00,59.21
05/02/2019 16:00:00,59.52
06/02/2019 16:00:00,59.46
07/02/2019 16:00:00,58.86
08/02/2019 16:00:00,58.95
11/02/2019 16:00:00,58.45
12/02/2019 16:00:00,59.86
13/02/2019 16:00:00,59.49
14/02/2019 16:00:00,59.57
15/02/2019 16:00:00,60.18
19/02/2019 16:00:00,60.34
20/02/2019 16:00:00,60.32
21/02/2019 16:00:00,59.77
22/02/2019 16:00:00,60.44
25/02/2019 16:00:00,60.55
26/02/2019 16:00:00,60.31
27/02/2019 16:00:00,68.82
28/02/2019 16:00:00,68.84
01/03/2019 16:00:00,67.81
04/03/2019 16:00:00,67.06
05/03/2019 16:00:00,66.81
06/03/2019 16:00:00,67.29
07/03/2019 16:00:00,67.64
08/03/2019 16:00:00,67.37
11/03/2019 16:00:00,68.72
12/03/2019 16:00:00,68.83
13/03/2019 16:00:00,68.35
14/03/2019 16:00:00,68.85
15/03/2019 16:00:00,69.63
18/03/2019 16:00:00,70.24
19/03/2019 16:00:00,69.89
20/03/2019 16:00:00,69.11
21/03/2019 16:00:00,70.56
22/03/2019 16:00:00,70.11
25/03/2019 16:00:00,70.89
26/03/2019 16:00:00,70.5
27/03/2019 16:00:00,70.5
28/03/2019 16:00:00,71.1
29/03/2019 16:00:00,71.06
01/04/2019 16:00:00,72.09
02/04/2019 16:00:00,71.45
03/04/2019 16:00:00,72.54
04/04/2019 16:00:00,74.57
05/04/2019 16:00:00,74.77
08/04/2019 16:00:00,74.82
09/04/2019 16:00:00,74.75
10/04/2019 16:00:00,74.49
11/04/2019 16:00:00,73.98
12/04/2019 16:00:00,73.57
15/04/2019 16:00:00,73.24
16/04/2019 16:00:00,73.16
17/04/2019 16:00:00,73.4
18/04/2019 16:00:00,73.64
22/04/2019 16:00:00,72.6
23/04/2019 16:00:00,73.62
24/04/2019 16:00:00,74.69
25/04/2019 16:00:00,73.79
26/04/2019 16:00:00,72.8
29/04/2019 16:00:00,73.39
30/04/2019 16:00:00,74.41
01/05/2019 16:00:00,73.83
02/05/2019 16:00:00,75.18
03/05/2019 16:00:00,75.03
06/05/2019 16:00:00,74.96
07/05/2019 16:00:00,73.29
08/05/2019 16:00:00,73.48
09/05/2019 16:00:00,72.29
10/05/2019 16:00:00,71.32
