Date,Close
11/05/2018 16:00:00,24.37
14/05/2018 16:00:00,24.29
15/05/2018 16:00:00,24.22
16/05/2018 16:00:00,24.38
17/05/2018 16:00:00,24.1
18/05/2018 16:00:00,24.19
21/05/2018 16:00:00,24.6
22/05/2018 16:00:00,24.47
23/05/2018 16:00:00,24.4
24/05/2018 16:00:00,24.74
25/05/2018 16:00:00,24.54
29/05/2018 16:00:00,24.4
30/05/2018 16:00:00,24.58
31/05/2018 16:00:00,24.39
01/06/2018 16:00:00,24.5
04/06/2018 16:00:00,24.46
05/06/2018 16:00:00,24.66
06/06/2018 16:00:00,25.19
07/06/2018 16:00:00,25.52
08/06/2018 16:00:00,25.53
11/06/2018 16:00:00,25.8
12/06/2018 16:00:00,25.92
13/06/2018 16:00:00,24.32
14/06/2018 16:00:00,24.54
15/06/2018 16:00:00,25.02
18/06/2018 16:00:00,24.29
19/06/2018 16:00:00,24.44
20/06/2018 16:00:00,24.15
21/06/2018 16:00:00,23.85
22/06/2018 16:00:00,23.92
25/06/2018 16:00:00,23.93
26/06/2018 16:00:00,23.86
27/06/2018 16:00:00,23.89
28/06/2018 16:00:00,24.29
29/06/2018 16:00:00,24.23
02/07/2018 16:00:00,24.31
03/07/2018 13:00:00,24.69
05/07/2018 16:00:00,24.6
06/07/2018 16:00:00,24.66
09/07/2018 16:00:00,24.26
10/07/2018 16:00:00,24.53
11/07/2018 16:00:00,24.05
12/07/2018 16:00:00,24.32
13/07/2018 16:00:00,23.9
16/07/2018 16:00:00,24.07
17/07/2018 16:00:00,23.97
18/07/2018 16:00:00,23.93
19/07/2018 16:00:00,23.6
20/07/2018 16:00:00,23.47
23/07/2018 16:00:00,23.4
24/07/2018 16:00:00,23.91
25/07/2018 16:00:00,22.83
26/07/2018 16:00:00,22.9
27/07/2018 16:00:00,23.46
30/07/2018 16:00:00,24.15
31/07/2018 16:00:00,24.13
01/08/2018 16:00:00,24.07
02/08/2018 16:00:00,24.04
03/08/2018 16:00:00,24.35
06/08/2018 16:00:00,24.23
07/08/2018 16:00:00,24.45
08/08/2018 16:00:00,24.42
09/08/2018 16:00:00,24.52
10/08/2018 16:00:00,24.35
13/08/2018 16:00:00,24.31
14/08/2018 16:00:00,24.33
15/08/2018 16:00:00,24.5
16/08/2018 16:00:00,24.97
17/08/2018 16:00:00,24.93
20/08/2018 16:00:00,24.99
21/08/2018 16:00:00,25.21
22/08/2018 16:00:00,24.66
23/08/2018 16:00:00,24.52
24/08/2018 16:00:00,24.63
27/08/2018 16:00:00,24.78
28/08/2018 16:00:00,24.66
29/08/2018 16:00:00,24.32
30/08/2018 16:00:00,24.12
31/08/2018 16:00:00,24.1
04/09/2018 16:00:00,24.04
05/09/2018 16:00:00,24.17
06/09/2018 16:00:00,24.29
07/09/2018 16:00:00,24.24
10/09/2018 16:00:00,24.44
11/09/2018 16:00:00,24.66
12/09/2018 16:00:00,25.22
13/09/2018 16:00:00,25.42
14/09/2018 16:00:00,25.36
17/09/2018 16:00:00,25.37
18/09/2018 16:00:00,25.45
19/09/2018 16:00:00,25.18
20/09/2018 16:00:00,25.24
21/09/2018 16:00:00,25.49
24/09/2018 16:00:00,25.59
25/09/2018 16:00:00,25.48
26/09/2018 16:00:00,25.17
27/09/2018 16:00:00,25.22
28/09/2018 16:00:00,25.34
01/10/2018 16:00:00,25.27
02/10/2018 16:00:00,25.6
03/10/2018 16:00:00,25.6
04/10/2018 16:00:00,25.75
05/10/2018 16:00:00,25.65
08/10/2018 16:00:00,25.74
09/10/2018 16:00:00,25.28
10/10/2018 16:00:00,24.79
11/10/2018 16:00:00,23.96
12/10/2018 16:00:00,24.34
15/10/2018 16:00:00,24.42
16/10/2018 16:00:00,24.44
17/10/2018 16:00:00,24.58
18/10/2018 16:00:00,24.53
19/10/2018 16:00:00,24.81
22/10/2018 16:00:00,24.66
23/10/2018 16:00:00,24.92
24/10/2018 16:00:00,22.91
25/10/2018 16:00:00,22.63
26/10/2018 16:00:00,21.95
29/10/2018 16:00:00,22.37
30/10/2018 16:00:00,23
31/10/2018 16:00:00,23.15
01/11/2018 16:00:00,23.01
02/11/2018 16:00:00,23.03
05/11/2018 16:00:00,23.12
06/11/2018 16:00:00,23.37
07/11/2018 16:00:00,23.47
08/11/2018 16:00:00,23.43
09/11/2018 16:00:00,23.16
12/11/2018 16:00:00,23.23
13/11/2018 16:00:00,22.89
14/11/2018 16:00:00,23.03
15/11/2018 16:00:00,22.73
16/11/2018 16:00:00,22.86
19/11/2018 16:00:00,22.9
20/11/2018 16:00:00,22.2
21/11/2018 16:00:00,22.47
23/11/2018 13:00:00,22.16
26/11/2018 16:00:00,22.6
27/11/2018 16:00:00,22.97
28/11/2018 16:00:00,23.2
29/11/2018 16:00:00,23.07
30/11/2018 16:00:00,23.58
03/12/2018 16:00:00,23.93
04/12/2018 16:00:00,23.19
06/12/2018 16:00:00,23.04
07/12/2018 16:00:00,22.75
10/12/2018 16:00:00,22.57
11/12/2018 16:00:00,22.41
12/12/2018 16:00:00,22.76
13/12/2018 16:00:00,22.57
14/12/2018 16:00:00,22.81
17/12/2018 16:00:00,22.54
18/12/2018 16:00:00,22.45
19/12/2018 16:00:00,22.5
20/12/2018 16:00:00,21.62
21/12/2018 16:00:00,21.37
24/12/2018 13:00:00,20.65
26/12/2018 16:00:00,21.19
27/12/2018 16:00:00,21.24
28/12/2018 16:00:00,21.48
31/12/2018 16:00:00,21.54
02/01/2019 16:00:00,22.29
03/01/2019 16:00:00,22.32
04/01/2019 16:00:00,22.9
07/01/2019 16:00:00,23.31
08/01/2019 16:00:00,23.61
09/01/2019 16:00:00,22.72
10/01/2019 16:00:00,22.94
11/01/2019 16:00:00,23.3
14/01/2019 16:00:00,23.11
15/01/2019 16:00:00,23.09
16/01/2019 16:00:00,23.06
17/01/2019 16:00:00,23.12
18/01/2019 16:00:00,23.37
22/01/2019 16:00:00,23.08
23/01/2019 16:00:00,23.31
24/01/2019 16:00:00,23.09
25/01/2019 16:00:00,23.14
28/01/2019 16:00:00,23.15
29/01/2019 16:00:00,23.17
30/01/2019 16:00:00,22.17
31/01/2019 16:00:00,22.69
01/02/2019 16:00:00,22.64
04/02/2019 16:00:00,22.35
05/02/2019 16:00:00,22.36
06/02/2019 16:00:00,22.31
07/02/2019 16:00:00,22.23
08/02/2019 16:00:00,22.3
11/02/2019 16:00:00,22.42
12/02/2019 16:00:00,22.5
13/02/2019 16:00:00,22.52
14/02/2019 16:00:00,22.48
15/02/2019 16:00:00,23
19/02/2019 16:00:00,23.12
20/02/2019 16:00:00,23.28
21/02/2019 16:00:00,23.27
22/02/2019 16:00:00,23.51
25/02/2019 16:00:00,23.49
26/02/2019 16:00:00,23.56
27/02/2019 16:00:00,23.44
28/02/2019 16:00:00,23.49
01/03/2019 16:00:00,23.26
04/03/2019 16:00:00,22.63
05/03/2019 16:00:00,22.6
06/03/2019 16:00:00,22.5
07/03/2019 16:00:00,22.58
08/03/2019 16:00:00,22.61
11/03/2019 16:00:00,22.81
12/03/2019 16:00:00,23.12
13/03/2019 16:00:00,22.85
14/03/2019 16:00:00,22.85
15/03/2019 16:00:00,23.15
18/03/2019 16:00:00,23.24
19/03/2019 16:00:00,23.15
20/03/2019 16:00:00,23.03
21/03/2019 16:00:00,23.44
22/03/2019 16:00:00,23.45
25/03/2019 16:00:00,23.22
26/03/2019 16:00:00,23.69
27/03/2019 16:00:00,23.7
28/03/2019 16:00:00,23.4
29/03/2019 16:00:00,23.67
01/04/2019 16:00:00,24.11
02/04/2019 16:00:00,23.87
03/04/2019 16:00:00,24.05
04/04/2019 16:00:00,24.14
05/04/2019 16:00:00,24.41
08/04/2019 16:00:00,24.44
09/04/2019 16:00:00,23.96
10/04/2019 16:00:00,24.06
11/04/2019 16:00:00,24.3
12/04/2019 16:00:00,24.3
15/04/2019 16:00:00,24.17
16/04/2019 16:00:00,24.34
17/04/2019 16:00:00,24.11
18/04/2019 16:00:00,24.17
22/04/2019 16:00:00,24.21
23/04/2019 16:00:00,24.23
24/04/2019 16:00:00,23.24
25/04/2019 16:00:00,22.9
26/04/2019 16:00:00,23.15
29/04/2019 16:00:00,23.3
30/04/2019 16:00:00,23.37
01/05/2019 16:00:00,23.24
02/05/2019 16:00:00,23.11
03/05/2019 16:00:00,23.17
06/05/2019 16:00:00,23.09
