Date,Close
11/05/2018 16:00:00,63.63
14/05/2018 16:00:00,63.84
15/05/2018 16:00:00,61.39
16/05/2018 16:00:00,61.5
17/05/2018 16:00:00,61.93
18/05/2018 16:00:00,61.49
21/05/2018 16:00:00,61.06
22/05/2018 16:00:00,60.68
23/05/2018 16:00:00,61.89
24/05/2018 16:00:00,61.92
25/05/2018 16:00:00,62.32
29/05/2018 16:00:00,62.15
30/05/2018 16:00:00,63.25
31/05/2018 16:00:00,63.05
01/06/2018 16:00:00,64.41
04/06/2018 16:00:00,66.21
05/06/2018 16:00:00,66.27
06/06/2018 16:00:00,66.29
07/06/2018 16:00:00,65.72
08/06/2018 16:00:00,65.57
11/06/2018 16:00:00,65.16
12/06/2018 16:00:00,65.65
13/06/2018 16:00:00,65.6
14/06/2018 16:00:00,66.73
15/06/2018 16:00:00,66.32
18/06/2018 16:00:00,66.27
19/06/2018 16:00:00,65.04
20/06/2018 16:00:00,65.58
21/06/2018 16:00:00,64.28
22/06/2018 16:00:00,62.74
25/06/2018 16:00:00,59.78
26/06/2018 16:00:00,60.5
27/06/2018 16:00:00,58.93
28/06/2018 16:00:00,60.22
29/06/2018 16:00:00,59.23
02/07/2018 16:00:00,60.56
03/07/2018 13:00:00,59.21
05/07/2018 16:00:00,60.68
06/07/2018 16:00:00,61.83
09/07/2018 16:00:00,62.31
10/07/2018 16:00:00,63.31
11/07/2018 16:00:00,61.88
12/07/2018 16:00:00,62.81
13/07/2018 16:00:00,62.33
16/07/2018 16:00:00,62.05
17/07/2018 16:00:00,63.42
18/07/2018 16:00:00,62.93
19/07/2018 16:00:00,63.01
20/07/2018 16:00:00,62.72
23/07/2018 16:00:00,62.35
24/07/2018 16:00:00,62.18
25/07/2018 16:00:00,62.97
26/07/2018 16:00:00,63.71
27/07/2018 16:00:00,63.01
30/07/2018 16:00:00,61.03
31/07/2018 16:00:00,61.22
01/08/2018 16:00:00,61.62
02/08/2018 16:00:00,62.66
